query_index,record_id,dataset,split,query_tokens,code_tokens,query,teacher_rank,supervised_rank,embed_rank
319,330,mbpp,test,19,7,"Write a function to find all three, four, five characters long words in the given string by using regex.",2,7,13
320,331,mbpp,test,12,29,Write a python function to count unset bits of a given number.,1,3,86
321,332,mbpp,test,11,25,Write a function to count character frequency of a given string.,1,37,61
322,333,mbpp,test,15,9,Write a python function to sort a list according to the second element in sublist.,2,8,42
323,334,mbpp,test,17,26,Write a python function to check whether the triangle is valid or not if sides are given.,3,4,37
324,335,mbpp,test,10,19,Write a function to find the sum of arithmetic progression.,1,183,98
325,336,mbpp,test,15,11,Write a function to check whether the given month name contains 28 days or not.,1,1,3
326,337,mbpp,test,16,18,"Write a function that matches a word at the end of a string, with optional punctuation.",1,21,16
327,338,mbpp,test,16,29,Write a python function to count the number of substrings with same first and last characters.,4,37,323
328,339,mbpp,test,13,8,Write a python function to find the maximum occuring divisor in an interval.,26,153,83
329,340,mbpp,test,20,12,Write a python function to find the sum of the three lowest positive numbers from a given list of numbers.,1,28,9
330,341,mbpp,test,11,7,Write a function to convert the given set into ordered tuples.,1,1,1
331,342,mbpp,test,19,100,Write a function to find the smallest range that includes at-least one element from each of the given arrays.,9,394,393
332,343,mbpp,test,14,17,Write a function to calculate the number of digits and letters in a string.,46,442,446
333,344,mbpp,test,16,6,Write a python function to find number of elements with odd factors in a given range.,4,169,63
334,345,mbpp,test,15,13,Write a function to find the difference between two consecutive numbers in a given list.,1,267,110
335,346,mbpp,test,9,31,"Write a function to find entringer number e(n, k).",1,69,271
336,347,mbpp,test,13,31,Write a python function to count the number of squares in a rectangle.,2,107,172
337,348,mbpp,test,20,56,Write a function to count sequences of given length having non-negative prefix sums that can be generated by given values.,33,61,269
338,349,mbpp,test,16,28,Write a python function to check whether the given string is a binary string or not.,1,18,94
339,350,mbpp,test,18,38,Write a python function to minimize the length of the string by removing occurrence of only one character.,3,103,302
340,351,mbpp,test,16,39,Write a python function to find the first element occurring k times in a given array.,1,115,348
341,352,mbpp,test,16,20,Write a python function to check whether all the characters in a given string are unique.,1,36,123
342,353,mbpp,test,13,11,Write a function to remove a specified column from a given nested list.,1,34,40
343,354,mbpp,test,10,13,Write a function to find t-nth term of arithemetic progression.,8,38,126
344,355,mbpp,test,16,48,Write a python function to count the number of rectangles in a circle of radius r.,1,1,10
345,356,mbpp,test,14,11,Write a function to find the third angle of a triangle using two angles.,1,3,1
346,357,mbpp,test,14,15,Write a function to find the maximum element of all the given tuple records.,6,86,97
347,358,mbpp,test,15,14,Write a function to find modulo division of two lists using map and lambda function.,1,38,142
348,359,mbpp,test,20,11,Write a python function to check whether one root of the quadratic equation is twice of the other or not.,6,121,131
349,360,mbpp,test,9,13,Write a function to find the n’th carol number.,1,201,44
350,361,mbpp,test,13,13,Write a function to remove empty lists from a given list of lists.,1,6,2
351,362,mbpp,test,15,27,Write a python function to find the item with maximum occurrences in a given list.,3,322,392
352,363,mbpp,test,14,19,Write a function to add the k elements to each element in the tuple.,1,26,114
353,364,mbpp,test,21,39,Write a function to find the number of flips required to make the given binary string a sequence of alternate characters.,1,111,348
354,365,mbpp,test,14,17,Write a python function to count the number of digits of a given number.,1,4,19
355,366,mbpp,test,21,10,Write a python function to find the largest product of the pair of adjacent elements from a given list of integers.,1,19,36
356,367,mbpp,test,13,61,Write a function to check if a binary tree is balanced or not.,1,11,11
357,368,mbpp,test,10,11,Write a function to repeat the given tuple n times.,1,34,165
358,369,mbpp,test,11,7,Write a function to find the lateral surface area of cuboid,2,15,52
359,370,mbpp,test,11,9,Write a function to sort a tuple by its float element.,2,1,22
360,371,mbpp,test,13,36,Write a function to find the smallest missing element in a sorted array.,1,1,7
361,372,mbpp,test,17,16,Write a function to sort a given list of elements in ascending order using heap queue algorithm.,13,308,264
362,373,mbpp,test,10,5,Write a function to find the volume of a cuboid.,1,1,5
363,374,mbpp,test,13,33,Write a function to print all permutations of a given string including duplicates.,1,72,411
364,375,mbpp,test,16,25,Write a function to round the given number to the nearest multiple of a specific number.,1,166,160
365,376,mbpp,test,20,24,Write a function to remove tuple elements that occur more than once and replace the duplicates with some custom value.,9,342,312
366,377,mbpp,test,15,23,Write a python function to remove all occurrences of a character in a given string.,1,221,103
367,378,mbpp,test,15,9,Write a python function to shift last element to first position in the given list.,1,77,340
368,379,mbpp,test,11,15,Write a function to find the surface area of a cuboid.,1,23,101
369,380,mbpp,test,8,25,Write a function to generate a two-dimensional array.,24,190,219
370,381,mbpp,test,17,13,Write a function to sort a list of lists by a given index of the inner list.,1,17,3
371,382,mbpp,test,14,72,Write a function to find the number of rotations in a circularly sorted array.,1,122,256
372,383,mbpp,test,13,43,Write a python function to toggle all odd bits of a given number.,2,103,202
373,384,mbpp,test,16,31,Write a python function to find the frequency of the smallest value in a given array.,1,62,360
374,385,mbpp,test,11,28,Write a function to find the n'th perrin number using recursion.,1,19,87
375,386,mbpp,test,19,52,Write a function to find out the minimum no of swaps required for bracket balancing in the given string.,1,18,317
376,387,mbpp,test,14,27,Write a python function to check whether the hexadecimal number is even or odd.,1,229,433
377,388,mbpp,test,19,25,Write a python function to find the highest power of 2 that is less than or equal to n.,2,27,37
378,389,mbpp,test,9,22,Write a function to find the n'th lucas number.,1,8,45
379,390,mbpp,test,17,9,Write a function to insert a given string at the beginning of all items in a list.,1,1,5
380,391,mbpp,test,12,19,Write a function to convert more than one list to nested dictionary.,1,190,134
381,392,mbpp,test,25,38,"Write a function to find the maximum sum possible by using the given equation f(n) = max( (f(n/2) + f(n/3) + f(n/4) + f(n/5)), n).",1,397,222
382,393,mbpp,test,13,20,Write a function to find the list with maximum length using lambda function.,1,2,7
383,394,mbpp,test,12,23,Write a function to check if given tuple is distinct or not.,1,17,144
384,395,mbpp,test,14,36,Write a python function to find the first non-repeated character in a given string.,1,62,232
385,396,mbpp,test,20,14,Write a function to check whether the given string starts and ends with the same character or not using regex.,1,11,116
386,397,mbpp,test,11,45,Write a function to find the median of three specific numbers.,1,1,6
387,398,mbpp,test,16,14,Write a function to compute the sum of digits of each number of a given list.,1,221,11
388,399,mbpp,test,14,16,Write a function to perform the mathematical bitwise xor operation across the given tuples.,1,27,335
389,400,mbpp,test,16,11,Write a function to extract the frequency of unique tuples in the given list order irrespective.,9,113,245
390,401,mbpp,test,17,22,Write a function to perform index wise addition of tuple elements in the given two nested tuples.,1,5,358
391,402,mbpp,test,9,35,Write a function to compute the value of ncr%p.,1,44,178
392,403,mbpp,test,14,31,Write a function to check if a url is valid or not using regex.,1,178,358
393,404,mbpp,test,11,11,Write a python function to find the minimum of two numbers.,1,185,24
394,405,mbpp,test,12,11,Write a function to check whether an element exists within a tuple.,1,7,144
395,406,mbpp,test,12,47,Write a python function to find the parity of a given number.,1,46,317
396,407,mbpp,test,17,35,Write a function to create the next bigger number by rearranging the digits of a given number.,3,31,382
397,408,mbpp,test,25,58,Write a function to find k number of pairs which consist of one element from the first array and one element from the second array.,3,103,434
398,409,mbpp,test,17,15,Write a function to find the minimum product from the pairs of tuples within a given list.,1,54,124
399,410,mbpp,test,13,14,Write a function to find the minimum value in a given heterogeneous list.,1,370,380
400,411,mbpp,test,17,12,Write a function to convert the given snake case string to camel case string by using regex.,2,29,10
401,412,mbpp,test,12,15,Write a python function to remove odd numbers from a given list.,1,239,81
402,413,mbpp,test,14,12,Write a function to extract the nth element from a given list of tuples.,1,2,6
403,414,mbpp,test,15,27,Write a python function to check whether the value exists in a sequence or not.,261,256,321
404,415,mbpp,test,17,45,Write a python function to find a pair with highest product from a given array of integers.,1,120,350
405,416,mbpp,test,27,29,Write a function to find the maximum sum we can make by dividing number in three parts recursively and summing them up together for the given number.,2,221,412
406,417,mbpp,test,13,22,Write a function to find common first element in given list of tuple.,5,105,157
407,418,mbpp,test,11,11,Write a python function to find the sublist having maximum length.,1,22,94
408,419,mbpp,test,25,7,Write a function to round every number of a given list of numbers and print the total sum multiplied by the length of the list.,1,5,94
409,420,mbpp,test,15,16,Write a python function to find the cube sum of first n even natural numbers.,1,2,16
410,421,mbpp,test,12,23,Write a function to concatenate each element of tuple by the delimiter.,1,12,366
411,422,mbpp,test,15,24,Write a python function to find the average of cubes of first n natural numbers.,1,1,3
412,423,mbpp,test,8,87,Write a function to solve gold mine problem.,1,34,258
413,424,mbpp,test,17,13,Write a function to extract only the rear index element of each string in the given tuple.,1,42,88
414,425,mbpp,test,13,18,Write a function to count the number of sublists containing a particular element.,1,64,119
415,426,mbpp,test,10,12,Write a function to filter odd numbers using lambda function.,1,4,14
416,427,mbpp,test,16,8,Write a function to convert a date of yyyy-mm-dd format to dd-mm-yyyy format by using regex.,1,7,7
417,428,mbpp,test,12,48,Write a function to sort the given array by using shell sort.,1,81,340
418,429,mbpp,test,14,16,Write a function to extract the elementwise and tuples from the given two tuples.,1,142,472
419,430,mbpp,test,10,18,Write a function to find the directrix of a parabola.,1,1,15
420,431,mbpp,test,18,23,Write a function that takes two lists and returns true if they have at least one common element.,1,64,53
421,432,mbpp,test,10,10,Write a function to find the median of a trapezium.,1,1,1
422,433,mbpp,test,18,32,Write a function to check whether the entered number is greater than the elements of the given array.,1,2,8
423,434,mbpp,test,17,17,Write a function that matches a string that has an a followed by one or more b's.,1,332,92
424,435,mbpp,test,13,7,Write a python function to find the last digit of a given number.,1,24,8
425,436,mbpp,test,11,12,Write a python function to print negative numbers in a list.,3,431,411
426,437,mbpp,test,10,26,Write a function to remove odd characters in a string.,1,331,350
427,438,mbpp,test,8,30,Write a function to count bidirectional tuple pairs.,3,140,486
428,439,mbpp,test,14,8,Write a function to convert a list of multiple integers into a single integer.,3,410,275
429,440,mbpp,test,14,13,Write a function to find all adverbs and their positions in a given sentence.,1,112,61
430,441,mbpp,test,11,6,Write a function to find the surface area of a cube.,1,1,16
431,442,mbpp,test,15,27,Write a function to find the ration of positive numbers in an array of integers.,1,8,44
432,443,mbpp,test,14,19,Write a python function to find the largest negative number from the given list.,1,36,165
433,444,mbpp,test,14,19,Write a function to trim each tuple by k in the given tuple list.,1,13,238
434,445,mbpp,test,16,22,Write a function to perform index wise multiplication of tuple elements in the given two tuples.,1,4,195
435,446,mbpp,test,16,22,Write a python function to count the occurence of all elements of list in a tuple.,1,315,228
436,447,mbpp,test,15,12,Write a function to find cubes of individual elements in a list using lambda function.,1,8,8
437,448,mbpp,test,10,60,Write a function to calculate the sum of perrin numbers.,2,119,345
438,449,mbpp,test,18,14,Write a python function to check whether the triangle is valid or not if 3 points are given.,1,211,377
439,450,mbpp,test,16,16,Write a function to extract specified size of strings from a give list of string values.,1,32,20
440,451,mbpp,test,13,7,Write a function to remove all whitespaces from the given string using regex.,1,15,2
441,452,mbpp,test,16,15,Write a function that gives loss amount if the given amount has loss else return none.,1,8,18
442,453,mbpp,test,14,91,Write a python function to find the sum of even factors of a number.,28,293,494
443,454,mbpp,test,9,17,Write a function that matches a word containing 'z'.,1,3,3
444,455,mbpp,test,15,20,Write a function to check whether the given month number contains 31 days or not.,2,1,49
445,456,mbpp,test,13,11,Write a function to reverse strings in a given list of string values.,1,2,3
446,457,mbpp,test,11,11,Write a python function to find the sublist having minimum length.,1,44,43
447,458,mbpp,test,10,5,Write a function to find the area of a rectangle.,1,1,6
448,459,mbpp,test,14,16,Write a function to remove uppercase substrings from a given string by using regex.,1,13,13
449,460,mbpp,test,12,8,Write a python function to get the first element of each sublist.,15,396,63
450,461,mbpp,test,14,22,Write a python function to count the upper case characters in a given string.,4,398,388
451,462,mbpp,test,15,21,Write a function to find all possible combinations of the elements of a given list.,1,4,229
452,463,mbpp,test,13,86,Write a function to find the maximum product subarray of the given array.,1,318,474
453,464,mbpp,test,13,14,Write a function to check if all values are same in a dictionary.,1,219,64
454,465,mbpp,test,11,17,Write a function to drop empty items from a given dictionary.,1,50,14
455,466,mbpp,test,12,74,Write a function to find the peak element in the given array.,1,221,339
456,467,mbpp,test,11,27,Write a python function to convert decimal number to octal number.,2,300,424
457,468,mbpp,test,19,41,Write a function to find the maximum product formed by multiplying numbers of an increasing subsequence of that array.,1,152,439
458,469,mbpp,test,16,68,Write a function to find the maximum profit earned from a maximum of k stock transactions,1,1,192
459,470,mbpp,test,15,15,Write a function to find the pairwise addition of the elements of the given tuples.,1,102,313
460,471,mbpp,test,13,24,Write a python function to find remainder of array multiplication divided by n.,1,398,257
461,472,mbpp,test,15,6,Write a python function to check whether the given list contains consecutive numbers or not.,1,61,62
462,473,mbpp,test,19,18,Write a function to find the tuple intersection of elements in the given tuple list irrespective of their order.,1,13,224
463,474,mbpp,test,9,8,Write a function to replace characters in a string.,1,379,250
464,475,mbpp,test,8,12,Write a function to sort counter by value.,2,15,21
465,476,mbpp,test,18,6,Write a python function to find the sum of the largest and smallest value in a given array.,1,318,132
466,477,mbpp,test,12,4,Write a python function to convert the given string to lower case.,3,3,1
467,478,mbpp,test,11,16,Write a function to remove lowercase substrings from a given string.,1,11,11
468,479,mbpp,test,13,14,Write a python function to find the first digit of a given number.,1,25,53
469,480,mbpp,test,14,37,Write a python function to find the maximum occurring character in a given string.,1,322,378
470,481,mbpp,test,21,36,Write a function to determine if there is a subset of the given set with sum equal to the given sum.,1,1,25
471,482,mbpp,test,23,13,Write a function to find sequences of one upper case letter followed by lower case letters in the given string by using regex.,15,67,83
472,483,mbpp,test,16,26,Write a python function to find the first natural number whose factorial is divisible by x.,1,1,8
473,484,mbpp,test,13,17,Write a function to remove the matching tuples from the given two tuples.,1,92,67
474,485,mbpp,test,13,73,Write a function to find the largest palindromic number in the given array.,1,384,342
475,486,mbpp,test,11,53,Write a function to compute binomial probability for the given number.,1,16,223
476,487,mbpp,test,19,34,Write a function to sort a list of tuples in increasing order by the last element in each tuple.,1,64,422
477,488,mbpp,test,10,7,Write a function to find the area of a pentagon.,1,92,127
478,489,mbpp,test,16,30,Write a python function to find the frequency of the largest value in a given array.,1,71,379
479,490,mbpp,test,16,28,Write a function to extract all the pairs which are symmetric in the given tuple list.,1,2,6
480,491,mbpp,test,11,18,Write a function to find the sum of geometric progression series.,1,236,298
481,492,mbpp,test,15,47,Write a function to search an element in the given array by using binary search.,1,233,401
482,493,mbpp,test,25,193,"Write a function to calculate a grid of hexagon coordinates where function returns a list of lists containing 6 tuples of x, y point coordinates.",15,228,399
483,494,mbpp,test,11,12,Write a function to convert the given binary tuple to integer.,1,10,33
484,495,mbpp,test,14,16,Write a function to remove lowercase substrings from a given string by using regex.,2,11,10
485,496,mbpp,test,18,12,Write a function to find the smallest integers from a given list of numbers using heap queue algorithm.,1,115,228
486,497,mbpp,test,11,24,Write a function to find the surface area of a cone.,1,151,204
487,498,mbpp,test,11,40,Write a python function to find gcd of two positive integers.,1,16,130
488,499,mbpp,test,10,5,Write a function to find the diameter of a circle.,1,1,1
489,500,mbpp,test,14,17,Write a function to concatenate all elements of the given list into a string.,1,59,28
490,501,mbpp,test,15,47,Write a python function to find common divisor between two numbers in a given pair.,6,272,403
491,502,mbpp,test,10,7,Write a python function to find remainder of two numbers.,15,158,171
492,503,mbpp,test,11,13,Write a function to add consecutive numbers of a given list.,1,117,69
493,504,mbpp,test,14,18,Write a python function to find the cube sum of first n natural numbers.,13,4,13
494,505,mbpp,test,14,29,Write a function to move all zeroes to the end of the given array.,5,72,25
495,506,mbpp,test,12,64,"Write a function to calculate the permutation coefficient of given p(n, k).",1,2,252
496,507,mbpp,test,11,14,Write a function to remove specific words from a given list.,1,1,1
497,508,mbpp,test,20,34,Write a function to check if the common elements between two given lists are in the same order or not.,1,1,275
498,509,mbpp,test,16,29,Write a python function to find the average of odd numbers till a given odd number.,1,52,183
499,510,mbpp,test,20,65,Write a function to find the number of subsequences having product smaller than k for the given non negative array.,1,23,299
