source,evidence_class,status,dataset,split,teacher_model,student_model,method,training_budget,MRR,Recall@1,Recall@5,Recall@10,nDCG@10,MAP@10,artifact_location,notes
eval/runs/run_index.csv,checkpoint-verified,verified,codesearchnet,test,-,NeuML/bert-hash-nano-embeddings,raw,,0.7559,0.6878,0.8363,0.8719,0.7815,0.7523,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/eval/runs/codesearchnet/test/20260324_211456_NeuML__bert-hash-nano-embeddings,NeuML__bert-hash-nano-embeddings
eval/runs/run_index.csv,checkpoint-verified,verified,codesearchnet,test,-,nreimers/BERT-Tiny_L-2_H-128_A-2,raw,,0.4472,0.3866,0.5120,0.5542,0.4685,0.4413,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/eval/runs/codesearchnet/test/20260324_223145_nreimers__BERT-Tiny_L-2_H-128_A-2,nreimers__BERT-Tiny_L-2_H-128_A-2
mbpp_kd_suite/artifacts/codesearchnet_tiny_pilot/20260325_203126/embed_distill/metrics.json,checkpoint-verified,verified,codesearchnet,test,sentence-transformers/all-MiniLM-L12-v2,nreimers/BERT-Tiny_L-2_H-128_A-2,embed_distill,"epochs=2, batch_size=8, eval_batch_size=16, seed=42",0.5940,0.5080,0.6940,0.7470,0.6254,0.5867,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/artifacts/codesearchnet_tiny_pilot/20260325_203126/embed_distill/metrics.json,history_rows=2
eval/runs/run_index.csv,checkpoint-verified,verified,codesearchnet,test,-,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/artifacts/codesearchnet_strong_student_diag/20260325_204211/supervised_student,20260325_204211,,0.9706,0.9486,0.9956,0.9979,0.9775,0.9705,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/eval/runs/codesearchnet/test/20260325_205139_20260325_204211__supervised_student,20260325_204211__supervised_student
eval/runs/run_index.csv,checkpoint-verified,verified,codesearchnet,test,-,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/artifacts/codesearchnet_tiny_pilot/20260325_203126/supervised_student,20260325_203126,,0.8495,0.7951,0.9138,0.9353,0.8692,0.8476,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/eval/runs/codesearchnet/test/20260325_203827_20260325_203126__supervised_student,20260325_203126__supervised_student
eval/runs/run_index.csv,checkpoint-verified,verified,codesearchnet,test,-,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/artifacts/codesearchnet_tiny_pilot/20260325_203126/embed_distill,20260325_203126,,0.3941,0.3347,0.4572,0.5015,0.4149,0.3876,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/eval/runs/codesearchnet/test/20260325_204003_20260325_203126__embed_distill,20260325_203126__embed_distill
eval/runs/run_index.csv,checkpoint-verified,verified,codesearchnet,test,-,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/artifacts/codesearchnet_tiny_pilot/20260325_203126/score_distill,20260325_203126,,0.3917,0.3347,0.4519,0.4936,0.4114,0.3854,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/eval/runs/codesearchnet/test/20260325_204120_20260325_203126__score_distill,20260325_203126__score_distill
artifacts/codesearchnet_tiny_hybrid_pilot/20260326_155721/supervised_student/metrics.json,checkpoint-verified,verified,codesearchnet,test,sentence-transformers/all-MiniLM-L12-v2,nreimers/BERT-Tiny_L-2_H-128_A-2,supervised_student,"epochs=3, batch_size=8, eval_batch_size=16, seed=42, max_train=5000, max_validation=1000, max_test=1000, checkpoint_strategy=all_epochs_then_prune",0.9098,0.8650,0.9640,0.9760,0.9255,0.9088,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/artifacts/codesearchnet_tiny_hybrid_pilot/20260326_155721/supervised_student/metrics.json,history_rows=3; hybrid_kd_pilot; best_validation_mrr=0.9037; best_validation_epoch=3
artifacts/codesearchnet_tiny_hybrid_pilot/20260326_155721/supervised_score_distill/metrics.json,checkpoint-verified,verified,codesearchnet,test,sentence-transformers/all-MiniLM-L12-v2,nreimers/BERT-Tiny_L-2_H-128_A-2,supervised_score_distill,"epochs=3, batch_size=8, eval_batch_size=16, seed=42, max_train=5000, max_validation=1000, max_test=1000, checkpoint_strategy=all_epochs_then_prune",0.9024,0.8540,0.9610,0.9740,0.9193,0.9013,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/artifacts/codesearchnet_tiny_hybrid_pilot/20260326_155721/supervised_score_distill/metrics.json,history_rows=3; hybrid_kd_pilot; best_validation_mrr=0.8983; best_validation_epoch=3
artifacts/codesearchnet_tiny_hybrid_pilot/20260326_155721/supervised_embed_distill/metrics.json,checkpoint-verified,verified,codesearchnet,test,sentence-transformers/all-MiniLM-L12-v2,nreimers/BERT-Tiny_L-2_H-128_A-2,supervised_embed_distill,"epochs=3, batch_size=8, eval_batch_size=16, seed=42, max_train=5000, max_validation=1000, max_test=1000, checkpoint_strategy=all_epochs_then_prune",0.9001,0.8520,0.9620,0.9750,0.9180,0.8993,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/artifacts/codesearchnet_tiny_hybrid_pilot/20260326_155721/supervised_embed_distill/metrics.json,history_rows=3; hybrid_kd_pilot; best_validation_mrr=0.8934; best_validation_epoch=3
artifacts/codesearchnet_tiny_hybrid_pilot/20260326_155721/supervised_embed_distill_warmup/metrics.json,checkpoint-verified,verified,codesearchnet,test,sentence-transformers/all-MiniLM-L12-v2,nreimers/BERT-Tiny_L-2_H-128_A-2,supervised_embed_distill_warmup,"epochs=3, batch_size=8, eval_batch_size=16, seed=42, max_train=5000, max_validation=1000, max_test=1000, checkpoint_strategy=all_epochs_then_prune",0.8932,0.8440,0.9550,0.9670,0.9106,0.8920,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/artifacts/codesearchnet_tiny_hybrid_pilot/20260326_155721/supervised_embed_distill_warmup/metrics.json,history_rows=3; hybrid_kd_pilot; best_validation_mrr=0.8816; best_validation_epoch=2
artifacts/codesearchnet_tiny_hybrid_pilot/20260326_155721/supervised_embed_distill_projinit/metrics.json,checkpoint-verified,verified,codesearchnet,test,sentence-transformers/all-MiniLM-L12-v2,nreimers/BERT-Tiny_L-2_H-128_A-2,supervised_embed_distill_projinit,"epochs=3, batch_size=8, eval_batch_size=16, seed=42, max_train=5000, max_validation=1000, max_test=1000, checkpoint_strategy=all_epochs_then_prune",0.8628,0.8080,0.9320,0.9530,0.8836,0.8610,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/artifacts/codesearchnet_tiny_hybrid_pilot/20260326_155721/supervised_embed_distill_projinit/metrics.json,history_rows=3; hybrid_kd_pilot; best_validation_mrr=0.8587; best_validation_epoch=3
eval/runs_posthoc_pilot_gate/run_index.csv,checkpoint-verified,verified,codesearchnet,validation,sentence-transformers/all-MiniLM-L12-v2,nreimers/BERT-Tiny_L-2_H-128_A-2,supervised_student,"epochs=3, batch_size=8, eval_batch_size=16, seed=42, max_train=5000, max_validation=1000, max_test=1000, checkpoint_strategy=all_epochs_then_prune",0.9037,0.8460,0.9710,0.9830,0.9230,0.9029,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/eval/runs_posthoc_pilot_gate/codesearchnet/validation/20260326_170809_supervised_student__best-val,decoupled_eval; capped_pilot_gate
eval/runs_posthoc_pilot_gate/run_index.csv,checkpoint-verified,verified,codesearchnet,validation,sentence-transformers/all-MiniLM-L12-v2,nreimers/BERT-Tiny_L-2_H-128_A-2,posthoc_score_distill,"epochs=2, batch_size=8, eval_batch_size=16, seed=42, max_train=5000, max_validation=1000, max_test=1000, checkpoint_strategy=all_epochs_then_prune, warm_start=supervised_student",0.9205,0.8720,0.9800,0.9850,0.9363,0.9198,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/eval/runs_posthoc_pilot_gate/codesearchnet/validation/20260326_170933_posthoc_score_distill__best-val,decoupled_eval; capped_pilot_gate; posthoc_kd_pilot
eval/runs_posthoc_pilot_gate/run_index.csv,checkpoint-verified,verified,codesearchnet,test,sentence-transformers/all-MiniLM-L12-v2,nreimers/BERT-Tiny_L-2_H-128_A-2,posthoc_score_distill,"epochs=2, batch_size=8, eval_batch_size=16, seed=42, max_train=5000, max_validation=1000, max_test=1000, checkpoint_strategy=all_epochs_then_prune, warm_start=supervised_student",0.9225,0.8830,0.9690,0.9830,0.9368,0.9217,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/eval/runs_posthoc_pilot_gate/codesearchnet/test/20260326_171015_posthoc_score_distill__best-val,decoupled_eval; capped_pilot_gate; posthoc_kd_pilot
eval/runs_posthoc_pilot_gate/run_index.csv,checkpoint-verified,verified,codesearchnet,validation,sentence-transformers/all-MiniLM-L12-v2,nreimers/BERT-Tiny_L-2_H-128_A-2,posthoc_teacher_topk_distill,"epochs=2, batch_size=8, eval_batch_size=16, seed=42, max_train=5000, max_validation=1000, max_test=1000, checkpoint_strategy=all_epochs_then_prune, warm_start=supervised_student",0.9269,0.8810,0.9820,0.9900,0.9425,0.9266,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/eval/runs_posthoc_pilot_gate/codesearchnet/validation/20260326_171058_posthoc_teacher_topk_distill__best-val,decoupled_eval; capped_pilot_gate; posthoc_kd_pilot; pilot_winner
eval/runs_posthoc_pilot_gate/run_index.csv,checkpoint-verified,verified,codesearchnet,test,sentence-transformers/all-MiniLM-L12-v2,nreimers/BERT-Tiny_L-2_H-128_A-2,posthoc_teacher_topk_distill,"epochs=2, batch_size=8, eval_batch_size=16, seed=42, max_train=5000, max_validation=1000, max_test=1000, checkpoint_strategy=all_epochs_then_prune, warm_start=supervised_student",0.9249,0.8870,0.9710,0.9870,0.9398,0.9244,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/eval/runs_posthoc_pilot_gate/codesearchnet/test/20260326_171141_posthoc_teacher_topk_distill__best-val,decoupled_eval; capped_pilot_gate; posthoc_kd_pilot; pilot_winner
eval/runs_posthoc_transfer/run_index.csv,checkpoint-verified,verified,mbpp,test,sentence-transformers/all-MiniLM-L12-v2,nreimers/BERT-Tiny_L-2_H-128_A-2,supervised_student,transfer_eval_only; source_checkpoint=codesearchnet_tiny_hybrid_pilot/20260326_155721/supervised_student,0.1677,0.1040,0.2100,0.2820,0.1725,0.1598,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/eval/runs_posthoc_transfer/mbpp/test/20260326_171156_supervised_student__best-val,decoupled_eval; transfer_guardrail
eval/runs_posthoc_transfer/run_index.csv,checkpoint-verified,verified,mbpp,test,sentence-transformers/all-MiniLM-L12-v2,nreimers/BERT-Tiny_L-2_H-128_A-2,posthoc_teacher_topk_distill,transfer_eval_only; source_checkpoint=codesearchnet_posthoc_pilot/20260326_170318/posthoc_teacher_topk_distill,0.1492,0.0940,0.1860,0.2580,0.1548,0.1416,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/eval/runs_posthoc_transfer/mbpp/test/20260326_171203_posthoc_teacher_topk_distill__best-val,decoupled_eval; transfer_guardrail; pilot_winner_but_transfer_fail
